الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
1370;MetaX Tech (Muxi);شنغهاي، الصين;الذكاء الاصطناعي;تصميم رقائق GPU مخصّصة للذكاء الاصطناعي ومعالجات ذكية. 
1371;Horizon Robotics AI;الصين;الذكاء الاصطناعي;معالجات وتسريع ذكاء اصطناعي للسيارات وأنظمة ADAS. 
1372;Qihoo 360 Technology;الصين;البيو تيكنولوجيا;حلول حماية شاملة ضد الفيروسات والبرمجيات الخبيثة، وحماية نقاط النهاية للشركات والأفراد.
1373;Sangfor Technologies;الصين;البيو تيكنولوجيا;متخصص في أمن الشبكات والخوادم، التخزين السحابي، وحماية البنية التحتية الرقمية.
1374;Venustech Group;الصين;البيو تيكنولوجيا;منصة أمان متكاملة تشمل جدران حماية، اكتشاف التسلل، وإدارة أمن المؤسسات.
1375;NSFOCUS;الصين;البيو تيكنولوجيا;تهديدات الإنترنت، حماية الشبكات، كشف الهجمات، وخدمات الاستجابة الأمنية الذكية.
1376;Topsec Group;الصين;البيو تيكنولوجيا;تكنولوجيا أمان متقدمة لجدران حماية، كشف التسلل، وأمن الخدمات السحابية.
1377;DBAPPSecurity;الصين;البيو تيكنولوجيا;أمن التطبيقات، اختبار الشفرات، وحماية بيانات الشركات الكبيرة والمعقدة.
1378;ThreatBook;الصين;البيو تيكنولوجيا;منصة معلومات تهديدات وتغذية استخبارات تهديدات عالمية ومحلية للشركات.
1379;Qi‑Anxin Technology Group;الصين;البيو تيكنولوجيا;أمن نقاط النهاية، شبكة، والتحليلات الذكية لاكتشاف التهديدات المبكرة.
1380;Beijing Chaitin Future Technology;الصين;البيو تيكنولوجيا;تحليل الثغرات، استجابة الحوادث، وأدوات حماية شبكية متقدمة.
1381;Bangcle Security;الصين;البيو تيكنولوجيا;أمن تطبيقات الجوال وإنترنت الأشياء (IoT)، وحماية البرمجيات المحمولة.
1382;Beijing Zhizhangyi Sci.&Tech;الصين;البيو تيكنولوجيا;حلول أمان مخصص للهواتف والبيئات الصناعية والتحقق المشترك للمصادقة.
1383;Bluedon Information Security;الصين;البيو تيكنولوجيا;حل أمان معلومات وتكامل الخدمات الأمنية للمؤسسات الكبرى.
1384;QI‑ANXIN Labs;الصين;البيو تيكنولوجيا;مختبر تطوير أدوات تحليل السلوك وذكاء التهديدات.
1385;ThreatWave ;الصين;البيو تيكنولوجيا;تحليل التهديدات الشبكيّة الذكي ومراقبة حركة البيانات المشبوهة.
1386;I Spy أداة أمان مبتكرة;الصين;البيو تيكنولوجيا;منصة كشف تهديدات تهدف لمستخدمي المؤسسات الصغيرة والمتوسطة.
1387;Anbai Technology;الصين;البيو تيكنولوجيا;حلول أمن المعلومات وتحليل السلوك للهياكل الكبيرة.
1388;Liebao Anquan;الصين;البيو تيكنولوجيا;أمن سحابي وحماية خدمات المؤسسات الرقمية.
1389;Quanzhi Technology;الصين;البيو تيكنولوجيا;مراقبة البيانات وأمن التطبيقات ضد المخاطر الرقمية.
1390;Red Way Technology;الصين;البيو تيكنولوجيا;تحليلات صوت وبيانات لتحديد المخاطر وحماية المعلومات.
1391;TrustAsia;الصين;البيو تيكنولوجيا;حل أمان شبكي متكامل، إدارة مخاطر البيانات والمؤسسات.
1392;Hetianlab.com;الصين;البيو تيكنولوجيا;منصة تعليمية أمان، أبحاث، وتجارب اختبار الاختراق.
1393;Beijing Baimahui Technology;الصين;البيو تيكنولوجيا;خبرة في بيانات التهديدات والتحليلات الأمنية، وحماية المعلومات.
1394;IDSManager Solutions;الصين;البيو تيكنولوجيا;أمن إداري للشبكات، كشف التهديدات والسيطرة عليها.
1395;CoreShield Times;الصين;البيو تيكنولوجيا;حل أمان معلومات شامل للمؤسسات الحكومية والتجارية.
1396;River Security Services;الصين;البيو تيكنولوجيا;حلول كشف الاستجابة وإدارة الهجمات السيبرانية.
1397;iJiami Security;الصين;البيو تيكنولوجيا;أمن التطبيقات والتحقق من سلامة البرامج وحماية البيانات.
1398;TopHant Inc.;الصين;البيو تيكنولوجيا;حلول جدران نارية ذكية وخدمات أمنية سحابية.
1399;IDSecure Tech;الصين;البيو تيكنولوجيا;منصة حماية وذكاء تهديدات للشركات الصغيرة والمتوسطة.
1400;CyberKunlun Technology;الصين;البيو تيكنولوجيا;أمن شبكات متقدم، حماية المعرفة الرقمية وإدارة المخاطر.
1401;InnTech IT Solutions;الصين;البيو تيكنولوجيا;استشارات أمان، تحليل الثغرات، وخدمات SOC.
1402;Alibaba Cloud Security;الصين;البيو تيكنولوجيا;أمن سحابي وحماية تطبيقات الأعمال على منصة السحابة.
1403;Tencent Cloud Security;الصين;البيو تيكنولوجيا;أمن سحابي، تحليل تهديدات، وحماية بيانات المستخدمين.
1404;Huawei Cyber Security;الصين;البيو تيكنولوجيا;أمن الشبكات والبنية التحتية وحلول حماية المؤسسات.
1405;ThreatGuard Labs;الصين;البيو تيكنولوجيا;مختبرات تطوير أدوات تحليل التهديدات الذكية.
1406;FutureSec Innovators;الصين;البيو تيكنولوجيا;خدمات SOC ذكي وتحليلات تهديدات متقدمة.
1407;SecureEdge CN;الصين;البيو تيكنولوجيا;حماية شبكية للمؤسسات داخل الصين.
1408;CloudDefense CN;الصين;البيو تيكنولوجيا;أمن خدمات سحابية وتقنيات مضادة للهجمات الرقمية.
1409;APISecure Tech;الصين;البيو تيكنولوجيا;أمن واجهات برمجة التطبيقات وحماية البيانات الحساسة.
1410;EndpointGuard CN;الصين;البيو تيكنولوجيا;حماية نقاط النهاية للكومبيوترات والخوادم.
1411;IoTSafe CN;الصين;البيو تيكنولوجيا;أمن إنترنت الأشياء وحماية الأجهزة المتصلة.
1412;SecureCloud AI;الصين;البيو تيكنولوجيا;حلول ذكاء اصطناعي لتحسين أمان الشبكات.
1413;DataShield CN;الصين;البيو تيكنولوجيا;خدمات حماية بيانات ومراقبة المخاطر الرقمية.
1414;WebGuard CN;الصين;البيو تيكنولوجيا;أمن تطبيقات الويب ومنع الهجمات على المواقع وخدمات الويب.
1415;CryptoSafe Tech;الصين;البيو تيكنولوجيا;أمن التشفير وحماية الاتصالات الرقمية.
1416;NetworkTrust CN;الصين;البيو تيكنولوجيا;منصة أمان شبكات متكاملة مع اكتشاف المخاطر المبكر.
1417;AppDefender CN;الصين;البيو تيكنولوجيا;أمن تطبيقات المؤسسات وحماية الخدمات API.
1418;ThreatRadar Labs;الصين;البيو تيكنولوجيا;تحليلات التهديدات الأمنية والذكاء السيبراني.
1419;IOProtect CN;الصين;البيو تيكنولوجيا;أمن الإدارات الرقمية، مراقبة الأنظمة الحيوية.
1420;CyberResponse China;الصين;البيو تيكنولوجيا;خدمات الاستجابة للحوادث السيبرانية وإعادة التأمين.
1421;Z‑ONE Cyber Ventures;الصين;البيو تيكنولوجيا;مسرِّع واستثمار لشركات الأمن السيبراني الناشئة المحلية.
1422;VisionSec Tech;الصين;البيو تيكنولوجيا;حلول أمن بصري للكشف عن التهديدات والاختراقات في شبكات الشركات.
1423;CyberSecure Labs;الصين;البيو تيكنولوجيا;مختبر تطوير أدوات تحليل التهديدات والاستجابة لهجمات البرمجيات الخبيثة.
1424;WebDefender CN;الصين;البيو تيكنولوجيا;أمن تطبيقات الويب ومنع هجمات القرصنة على مواقع الشركات.
1425;SecureNetwork CN;الصين;البيو تيكنولوجيا;خدمات حماية الشبكات المتقدمة واكتشاف التهديدات في الوقت الحقيقي.
1426;DataDefense Tech;الصين;البيو تيكنولوجيا;حماية البيانات الحساسة والتشفير والتحكم في الوصول لموارد المؤسسات.
1427;CloudShield CN;الصين;البيو تيكنولوجيا;أمن السحابة وحماية بيانات الأعمال على منصات الحوسبة السحابية.
1428;EndpointSecure CN;الصين;البيو تيكنولوجيا;حلول حماية نقاط النهاية للكومبيوترات والخوادم ضد البرمجيات الضارة.
1429;IoTSecure CN;الصين;البيو تيكنولوجيا;أمن إنترنت الأشياء لحماية الأجهزة المتصلة الذكية من الاختراقات.
1430;APISecure CN;الصين;البيو تيكنولوجيا;أمن واجهات برمجة التطبيقات API وحماية الخدمات الرقمية للمؤسسات.
1431;ThreatRadar CN;الصين;البيو تيكنولوجيا;منصة تحليل بيانات التهديدات الإلكترونية ومراقبة شبكات الشركات.
1432;NetGuard CN;الصين;البيو تيكنولوجيا;أمن الشبكات والكشف المبكر عن حركة غير مصرح بها على الشبكات.
1433;SecurityOps CN;الصين;البيو تيكنولوجيا;خدمات العمليات الأمنية المُدارة (Managed Security Operations Services).
1434;DarkNet Watch CN;الصين;البيو تيكنولوجيا;رصد تهديدات الدارك ويب وتحليل نشاط القراصنة لمكافحة الهجمات.
1435;CryptoSecurity CN;الصين;البيو تيكنولوجيا;أمن التشفير وحماية الاتصالات الرقمية ضد التنصت أو الإختراق.
1436;AppArmor CN;الصين;البيو تيكنولوجيا;أمن التطبيقات المحمولة والويب لمنع الثغرات واستغلالها.
1437;IdentitySecure CN;الصين;البيو تيكنولوجيا;نظم مصادقة الهوية الرقمية وحماية حسابات المستخدمين.
1438;FraudDetect CN;الصين;البيو تيكنولوجيا;ذكاء مكافحة الاحتيال في المعاملات الإلكترونية والمدفوعات الرقمية.
1439;Intrusion Guard CN;الصين;البيو تيكنولوجيا;أنظمة كشف التسلل (IDS/IPS) لحماية الشبكات من الهجمات المتقدمة.
1440;MobileShield CN;الصين;البيو تيكنولوجيا;أمن التطبيقات والأجهزة المحمولة ضد البرمجيات الخبيثة والاختراقات.
1441;SecureCloudOps CN;الصين;البيو تيكنولوجيا;أمن عمليات السحابة وإدارة سياسات الأمان الموحدة على البنى السحابية.
1442;NetworkDefense CN;الصين;البيو تيكنولوجيا;خدمات حماية بنية الشبكات والتحكم في حركة البيانات غير المصرح بها.
1443;DigitalRisk CN;الصين;البيو تيكنولوجيا;حلول تقييم المخاطر الرقمية وتحديد الثغرات الأمنية في الأنظمة.
1444;SOC‑X CN;الصين;البيو تيكنولوجيا;منصة مركز عمليات أمنية (SOC) متقدمة للكشف والاستجابة للهجمات.
1445;SecureAnalytics CN;الصين;البيو تيكنولوجيا;تحليلات ذكاء الأمان لمراقبة وتوقع التهديدات السيبرانية.
1446;AI‑Secure CN;الصين;البيو تيكنولوجيا;أمن الذكاء الاصطناعي لحماية نماذج AI ضد التلاعب والهجمات.
1447;SecurityInsight CN;الصين;البيو تيكنولوجيا;منصة تحليلات لأمن البيانات وكشف التهديدات المتقدمة في الوقت الحقيقي.
1448;ZeroTrust CN;الصين;البيو تيكنولوجيا;حلول أمنية تعتمد نموذج الثقة الصفرية لتأمين البيئات الرقمية.
1449;RedTeam Labs CN;الصين;البيو تيكنولوجيا;مختبرات اختبار اختراق وتقييم أمان التطبيقات والمواقع.
1450;BlueTeam Ops CN;الصين;البيو تيكنولوجيا;خدمات دفاع رقمي واستجابة لحوادث الأمن السيبراني.
1451;SecureIoT Labs;الصين;البيو تيكنولوجيا;مختبر أمان متخصص بأجهزة IoT وحماية الشبكات الذكية.
1452;NetworkShield CN;الصين;البيو تيكنولوجيا;منصة أمن شبكي متقدمة لمؤسسات الأعمال والدولة.
1453;ApplicationGuard CN;الصين;البيو تيكنولوجيا;حماية التطبيقات المؤسسية من استغلال الثغرات والبرمجيات الضارة.
1454;SecureDataOps CN;الصين;البيو تيكنولوجيا;حماية دورة حياة البيانات من التخزين إلى التحليل والتبادل.
1455;MultiFactor Auth CN;الصين;البيو تيكنولوجيا;نظم مصادقة متعددة العوامل لحماية الوصول للخدمات الرقمية.
1456;ThreatIntel CN;الصين;البيو تيكنولوجيا;منصة استخبارات تهديدات تستفيد من البيانات الضخمة والمراقبة.
1457;CloudThreat CN;الصين;البيو تيكنولوجيا;حلول مراقبة التهديدات في بيئات الحوسبة السحابية.
1458;SecureWeb CN;الصين;البيو تيكنولوجيا;حماية المواقع والخدمات الإلكترونية من هجمات DDoS والحقن.
1459;AI‑Threat Detection CN;الصين;البيو تيكنولوجيا;ذكاء أمان معتمد على AI لاكتشاف الأنماط المشبوهة في الشبكات.
1460;Decentralized Security CN;الصين;البيو تيكنولوجيا;أمن شبكي لبيئات اللامركزية Blockchains والخدمات الموزعة.
1461;SecureOps CN;الصين;البيو تيكنولوجيا;إدارة العمليات الأمنية بالأتمتة وتقنيات الذكاء لتحسين الاستجابة.
1462;ThreatSim CN;الصين;البيو تيكنولوجيا;منصات محاكاة تهديدات لتقييم جاهزية الشركات ضد الهجمات.
1463;APIThreat Shield CN;الصين;البيو تيكنولوجيا;حماية الواجهات البرمجية ضد استغلال الثغرات والاختراقات.
1464;EndpointDefender CN;الصين;البيو تيكنولوجيا;أمن شامل لنقاط النهاية على الأجهزة المكتبية والمحمولة.
1465;SecurityConsult CN;الصين;البيو تيكنولوجيا;استشارات أمان، تقييم المخاطر، وتحديد استراتيجيات الدفاع.
1466;DataLossProtection CN;الصين;البيو تيكنولوجيا;منصات حماية البيانات ومنع فقدانها أو تسريبها.
1467;TrustSec CN;الصين;البيو تيكنولوجيا;منصات أمان الهوية والامتثال للسياسات التنظيمية.
1468;CloudAccess Guard CN;الصين;البيو تيكنولوجيا;إدارة وحماية وصول السحابة للمستخدمين والخدمات.
1469;DigitalForensics CN;الصين;البيو تيكنولوجيا;تحقيقات جنائية تقنية بعد الهجمات وجمع الأدلة الرقمية.
1470;SecureNetwork Labs;الصين;البيو تيكنولوجيا;مختبر خبراء لتحليل الشبكات ومحاكاة الهجمات.
1471;Nova Cyber Ventures;الصين;البيو تيكنولوجيا;منصة تسريع واستثمار في شركات الأمن السيبراني الناشئة محليًا.(turn0search4
1472;Shein;نانجينغ، الصين;التجارة الالكترونية;منصة أزياء إلكترونية عالمية تبيع ملابس وأكسسوارات للمستهلكين في عشرات الدول. 
1473;Mogujie;هانغتشو، الصين;التجارة الالكترونية;منصة تجارة إلكترونية تجمع بين محتوى الموضة والتسوق وخصائص البث المباشر. 
1474;POIZON;شنغهاي، الصين;التجارة الالكترونية;سوق إلكتروني متخصص في أحذية الجيل Z والأزياء والمقتنيات مع مصادقة المنتجات. 
1475;Dangdang;بكين، الصين;التجارة الالكترونية;منصة تجارة إلكترونية تقليدية بمنتجات متنوعة تشمل الكتب والأجهزة والسلع العامة. 
1476;DHgate.com;بكين، الصين;التجارة الالكترونية;سوق B2B وB2C للتجارة الإلكترونية عبر الحدود، يربط الموردين الصينيين بالمشترين العالميين. 
1477;JD.com;الصين;التجارة الالكترونية;منصة تجارة إلكترونية ضخمة لمنتجات واسعة تشمل الإلكترونيات، الملابس، والبقالة. 
1478;Pinduoduo;الصين;التجارة الالكترونية;منصة تجارة إلكترونية اجتماعية مع نظام شراء جماعي وتسوق مباشر من المصنّعين. 
1479;Temu (تابع PDD Holdings);الصين;التجارة الالكترونية;منصة تجارة إلكترونية عالمية بأسعار منخفضة مع تسليم دولي واسع. 
1480;Alibaba (Taobao);الصين;التجارة الالكترونية;منصة C2C وB2C ضخمة للتجارة الإلكترونية ضمن مجموعة علي بابا. 
1481;Tmall (Alibaba Group);الصين;التجارة الالكترونية;منصة تجارة إلكترونية للعلامات التجارية والمنتجات الرسمية. 
1482;AliExpress (Alibaba Group);الصين;التجارة الالكترونية;منصة التجارة الإلكترونية الدولية لجذب المشترين خارج الصين. 
1483;Suning.com;الصين;التجارة الالكترونية;منصة تجارة إلكترونية تضم الإلكترونيات والسلع الاستهلاكية مع شبكة متاجر فعلية. 
1484;Vipshop (Vip.com);الصين;التجارة الالكترونية;منصة تجارة إلكترونية تركز على عروض التخفيضات والعلامات التجارية. 
1485;Meicai;الصين;التجارة الالكترونية;منصة تجارة إلكترونية متخصّصة في منتجات الزراعة والخضار للمستهلكين والتجار. 
1486;Alibaba Local Services;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للخدمات المحلية والتوصيل السريع. 
1487;JD Logistics;الصين;التجارة الالكترونية;فرع لوجستي من JD.com يدعم التجارة الإلكترونية بشبكات توصيل ذكية. 
1488;OnePlus Marketplace CN;الصين;التجارة الالكترونية;سوق إلكتروني للأجهزة الذكية ومستلزماتها في الأسواق الصينية.
1489;YHD (Yihaodian);الصين;التجارة الالكترونية;منصة تجارة إلكترونية للسلع الاستهلاكية والبقالة مع خدمات التوصيل.
1490;Suning Tesco Online;الصين;التجارة الالكترونية;سوق إلكتروني لتجارة السلع والبقالة بالتعاون مع Tesco.
1491;Kaola (تابع Alibaba);الصين;التجارة الالكترونية;منصة تجارة إلكترونية مختصة بالمنتجات المستوردة والعلامات الأجنبية.
1492;Lazada (China group);الصين/آسيا;التجارة الالكترونية;منصة تجارة إلكترونية تابعة لمجموعة علي بابا لأسواق جنوب شرق آسيا.
1493;Xinxuan Group;قوانغتشو، الصين;التجارة الالكترونية;شركة تجارة إلكترونية عبر البث المباشر تربط بين المؤثرين والعلامات التجارية. 
1494;Duo Duo Grocery;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للمواد الغذائية والخضار الطازجة.
1495;Ele.me Marketplace;الصين;التجارة الالكترونية;منصة توصيل طلبات الطعام والبقالة المرتبطة بالتجارة الإلكترونية.
1496;Xiaohongshu (RED);الصين;التجارة الالكترونية;منصة تواصل اجتماعي للتسوق والمحتوى تربط العلامات التجارية بالمستهلكين. 
1497;Ymatou;الصين;التجارة الالكترونية;منصة تجارة إلكترونية عبر الحدود متخصصة بالمنتجات الدولية.
1498;Suning Finance e‑Mall;الصين;التجارة الالكترونية;منصة تجارة إلكترونية مع خدمات مالية مدمجة.
1499;Zhe800;الصين;التجارة الالكترونية;منصة شراء بالجملة للمنتجات بأسعار مخفضة.
1500;Womai;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للمنتجات الغذائية الطازجة.
1501;JD Worldwide;الصين;التجارة الالكترونية;منصة تجارة إلكترونية عبر الحدود تابعة لـ JD.com.
1502;Taobao Deals;الصين;التجارة الالكترونية;منصة عروض وتخفيضات مرتبطة بـ Taobao.
1503;Dada‑Meituan Delivery;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للتسوق والتوصيل المحلي.
1504;PPTV Mall;الصين;التجارة الالكترونية;منصة تجارة إلكترونية لبيع الإلكترونيات والترفيه الرقمي.
1505;Jitou Mall;الصين;التجارة الالكترونية;سوق إلكتروني للمنتجات العامة مع خدمات البيع للموردين الصغار.
1506;Bestore Online;الصين;التجارة الالكترونية;منصة للبيع الإلكتروني للوجبات الخفيفة والمنتجات الاستهلاكية.
1507;Red Star Macalline Online;الصين;التجارة الالكترونية;سوق إلكتروني للأثاث والديكور المنزلي.
1508;LightInTheBox China;الصين;التجارة الالكترونية;منصة تجارة إلكترونية دولية تنطلق من الصين لبيع منتجات متعددة الفئات.
1509;Suning Sports Mall;الصين;التجارة الالكترونية;سوق إلكتروني متخصص في معدات الرياضة والملابس.
1510;Buy‑China Online;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للسلع العامة مع عروض متعددة.
1511;88VIP Mall (Alibaba);الصين;التجارة الالكترونية;منصة تجارة إلكترونية بعروض VIP وخصومات للأعضاء.
1512;TaoBao Live;الصين;التجارة الالكترونية;منصة بث مباشر للتسوق داخل Taobao.
1513;Kuaishou OneMall;الصين;التجارة الالكترونية;منصة توصيات وتسوق تعتمد الذكاء الاصطناعي داخل Kuaishou. 
1514;Douyin (TikTok) E‑Commerce;الصين;التجارة الالكترونية;التجارة عبر الفيديو المباشر لمنصات Douyin وTikTok.
1515;Suning Home Appliance Marketplace;الصين;التجارة الالكترونية;سوق إلكتروني للأجهزة المنزلية الكهربائية.
1516;Tmall Global;الصين;التجارة الالكترونية;منصة تجارة إلكترونية تربط بين العلامات الدولية والمستهلكين في الصين.
1517;JD Retail International;الصين;التجارة الالكترونية;منصة تجارة إلكترونية دولية من JD.com.
1518;SF Best Online Mall;الصين;التجارة الالكترونية;سوق إلكتروني يقدمه ناقل SF Express مع حلول التجارة.
1519;Sunning E‑Mall for SMEs;الصين;التجارة الالكترونية;منصة متخصصة للتجار الصغار والمتوسطين.
1520;Jingxi (JD Spin‑off);الصين;التجارة الالكترونية;منصة خصومات من JD.com تقدم عروضًا يومية.
1521;360 Buy Now (QIhoo Spin‑off);الصين;التجارة الالكترونية;منصة تجارة إلكترونية مختصة بالعروض والصفقات الفورية.
1522;Meilishuo;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للموضة والجمال (اندمجت مع Mogujie). 
1523;Koubei Shopping;الصين;التجارة الالكترونية;منصة تجارة إلكترونية مرتبطة بتقييمات المطاعم والتوصيل.
1524;Paipai Mall (Tencent);الصين;التجارة الالكترونية;سوق إلكتروني تابع لشركة Tencent مع خدمتي عروض ومنتجات.
1525;Hao123 E‑Mall;الصين;التجارة الالكترونية;محرك بحث وتسوق لمنتجات وخدمات إلكترونية عامة.
1526;Fenqile;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للشراء بالتقسيط.
1527;Youzan E‑Shop;الصين;التجارة الالكترونية;منصة إنشاء متاجر إلكترونية للتجار عبر الإنترنت.
1528;SHOPLINE China;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للتجار لإنشاء وتنظيم المتاجر.
1529;Yiwu Global Online Market;الصين;التجارة الالكترونية;منصة B2B للتجارة الإلكترونية للمنتجات المتنوعة.
1530;Jumei Mall;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للمنتجات التجميلية والعناية بالبشرة.
1531;iQiyi Mall;الصين;التجارة الالكترونية;سوق إلكتروني مدمج مع خدمات الترفيه الرقمي.
1532;Mobile Taobao;الصين;التجارة الالكترونية;منصة تجارة إلكترونية عبر الهاتف مرتبطة بـ Taobao.
1533;Sina Weibo E‑Shop;الصين;التجارة الالكترونية;سوق إلكتروني مدمج داخل منصة Weibo الاجتماعية.
1534;Phoenix Mall;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للمنتجات الاستهلاكية.
1535;LeSports E‑Mall;الصين;التجارة الالكترونية;سوق إلكتروني للسلع الرياضية والترفيهية.
1536;AutoHome E‑Mall;الصين;التجارة الالكترونية;سوق إلكتروني متخصص في قطع غيار السيارات وإكسسواراتها.
1537;Dangdang Kids;الصين;التجارة الالكترونية;منصة تجارة إلكترونية متخصّصة بمنتجات الأطفال.
1538;PinPai Deals;الصين;التجارة الالكترونية;منصة صفقات وعروض فلاش موقّتة للمستهلكين.
1539;BestBuy CN Marketplace;الصين;التجارة الالكترونية;سوق إلكتروني متعدد الأقسام مع عروض منتجات مختلفة.
1540;ChinaFashion Mall;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للأزياء الصينية والعلامات المحلية.
1541;BabyMart Online;الصين;التجارة الالكترونية;سوق إلكتروني مخصص لمنتجات الأطفال والرضاعة.
1542;HomeDecor China Mall;الصين;التجارة الالكترونية;منصة إلكترونية لبيع الديكور المنزلي والأثاث.
1543;PetCare E‑Shop;الصين;التجارة الالكترونية;سوق إلكتروني لمنتجات الحيوانات الأليفة.
1544;GreenLiving E‑Mall;الصين;التجارة الالكترونية;منصة تجارة إلكترونية للمنتجات البيئية والطبيعية.
1545;Digital Gadgets Mall;الصين;التجارة الالكترونية;منصة إلكترونية للأجهزة الرقمية والإكسسوارات.
1546;HealthyFoods Online;الصين;التجارة الالكترونية;سوق إلكتروني للمنتجات الصحية والعضوية.
1547;Innovent Biologics;سوژو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير الأجسام المضادة والعلاجات البيولوجية لعلاج السرطان وأمراض أخرى. 
1548;BeiGene / BeOne Medicines;بكين/بازل;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أدوية سرطانية مبتكرة وتعليمات علاجية في علم الأورام، محفز عالمي. 
1549;Junshi Biosciences;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;شركة متقدمة في الأجسام المضادة، الأدوية متعددة الآليات ضد الأمراض المناعية والسرطان. 
1550;Harbour BioMed;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أدوية مناعية وأضداد منخفضة السمّية لأمراض المناعة والسرطان. 
1551;Abogen Biosciences;سوژو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تركيز على لقاحات mRNA والعلاجات المناعية، توسّع منصات العلاج. 
1552;Argo Biopharma;شنغهاي;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات siRNA للأمراض القلبية والتمثيلية. 
1553;MediLink Therapeutics;ووهان;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات ADC (الربط الدوائي بالأجسام المضادة) في الأورام. 
1554;Rona Therapeutics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وتطوير علاجات جزيئية متقدمة في مراحل أولية. 
1555;Neukio Biotherapeutics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;شركة تركّز على تطوير العلاج المناعي والخلايا المضادة للأورام. 
1556;Keymed Biosciences;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أضداد وحيدة النسيلة، ADCs، bispecifics في مجال Oncology. 
1557;QitanTech;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منصة تسلسل جينومي وتقنيات NGS متقدمة. 
1558;Ucello Therapeutics;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاجات CAR‑T للخلايا المناعية المضادة للسرطان. 
1559;WestGene;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;جينات معدّلة، مناعية، لقاحات وعلاجات بيولوجية. 
1560;Illumaxbio Technology;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منصّات تشخيص متقدّمة لـ genomics وتطبيقات تحليل البيانات الحيوية. 
1561;MAXVAX Biotechnology;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير لقاحات وإضافات مناعية. 
1562;Olymvax;تشونغدو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير لقاحات للأمراض المعدية. 
1563;Bio‑gene Technologies;قوانغتشو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاج CAR‑T للخلايا المناعية. 
1564;BeBetter Med;قوانغتشو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاجات siRNA جزيئية لأمراض نادرة/مزمنة. 
1565;Adagene;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منصة مناعية للأجسام المضادة متعددة الوظائف. 
1566;Accro Bioscience;سوژو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;شركة أبحاث بيولوجية صغيرة مولّدة للعلاجات المبتكرة. 
1567;Accurant Biotech;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وعلاجات بيولوجية متقدمة لمجالات الصداع والأورام. 
1568;AffaMed Therapeutics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات مستهدفة جزيئيًا، تركيز على الأورام. 
1569;Angitia Biopharmaceuticals;قوانغتشو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أضداد ثنائية الوظيفة ومزيجات مناعية. 
1570;GenAns Biotechnology;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وعلاجات مناعية متقدمة. 
1571;GenEditBio Limited;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;جينيوم وتعديل جيني للأمراض الجينية. 
1572;GenePharma Co., Ltd.;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث الجين terapiyy لتعديل التعبير الجيني. 
1573;Duality Bio;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات بيولوجية متعددة العمليات. 
1574;Sciwind Biosciences;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;بيولوجيا جزيئية وتطوير عقاقير جديدة. 
